Name,Grade,Style,Partner(empty),Notes,Date,Crag,County,Region,Country,Pitches,Type
"Harvey Oswald",f7A+,"Sent β",,,18/Feb/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"New Noise RH",f7C,"Sent x",,,17/Feb/25,"Tanygrisiau Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"New Noise",f8A,"Sent x",,,17/Feb/25,"Tanygrisiau Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
Tempest,f7A,"Sent β",,,17/Feb/25,"Tanygrisiau Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Zaff Skoczylas",f7C,"Sent x",,,18/Jan/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
Lightweight,f7C+,"Sent x",,,30/Dec/24,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"Badger Parade",f7C+,"Sent x",,,30/Dec/24,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"Nazgul's Traverse",f7C,"Sent x",,,30/Dec/24,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"Diamond Eyes",f7C,"Sent x",,,29/Dec/24,"Gallt yr Ogof Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Traci Lords",f7C,"Sent β",,,29/Oct/24,"Coniston Bouldering",Cumbria,"Northern England",England,1,Bouldering
Chinook,f8A,"Sent x",,,13/Oct/24,"Bamford Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Jason's Roof",f8A,"Sent x",,,05/Oct/24,Crookrise,"North Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Dark side of the moon sit start, Boulder 1, Problem c (Dark Side",f8A,"Sent x",,,13/Aug/24,"Gotthard Pass",Ticino,Central,Switzerland,1,Bouldering
"Trieste-Gottardo, Boulder 4, Problem a (Ecstasy)",f7C+,"Sent x",,,10/Aug/24,"Gotthard Pass",Ticino,Central,Switzerland,1,Bouldering
"Why Me?",7c,"Lead RP",,,24/Jul/24,"Chee Dale Upper",Derbyshire,"The Peak Area",England,1,Sport
"Beak Forest",f7C+,"Sent x",,,23/Jun/24,"Conies Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Candy Man Sit-start",f7C+,"Sent x",,,18/Jun/24,"Squirrel Buttress",Derbyshire,"The Peak Area",England,1,Bouldering
"Hand Candy",f7C,"Sent x",,,18/Jun/24,"Squirrel Buttress",Derbyshire,"The Peak Area",England,1,Bouldering
"Point Beak",f8A+,"Sent x",,,16/Jun/24,"The Wave",Derbyshire,"The Peak Area",England,1,Bouldering
"Bizarre Ride",f8A,"Sent x",,,19/May/24,"Crag X (Derbyshire)",Derbyshire,"The Peak Area",England,1,Bouldering
Ubik,f8A+,"Sent x",,,09/Apr/24,"Les Mammouths",Seine-et-Marn,Centre,France,1,Bouldering
"Big Golden",f7C+,"Sent x",,,06/Apr/24,"Cuvier Rempart",Seine-et-Marn,Centre,France,1,Bouldering
"Fourmis Rouge",f7C,"Sent x",,,06/Apr/24,"Cuvier Rempart",Seine-et-Marn,Centre,France,1,Bouldering
"Big Boss",f7C,"Sent x",,,06/Apr/24,"Cuvier Rempart",Seine-et-Marn,Centre,France,1,Bouldering
Tsunami,f8A,"Sent x",,,24/Mar/24,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Bouldering
"Dancing Fish",f8A,"Sent x",,,24/Mar/24,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Bouldering
Kobe,f8A,"Sent x",,,24/Feb/24,"Wharncliffe Crags","South Yorkshire","The Peak Area",England,1,Bouldering
"Green Room Slap Sit-start",f7C,"Sent x",,,27/Jan/24,"Stanage North",Derbyshire,"The Peak Area",England,1,Bouldering
David,f7B,"Sent x",,,13/Jan/24,"Mother Cap and Quarry","South Yorkshire","The Peak Area",England,1,Bouldering
Spoonerism,f8A+,"Sent x",,,03/Jan/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Marilyn Monroe",f8A,"Sent x",,,29/Dec/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Ninth power",f7C,"Sent β",,,28/Dec/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Big 8",f7C,"Sent x",,,28/Dec/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Brione Arete Left",f7A+,"Sent β",,,28/Dec/23,Brione,Ticino,Central,Switzerland,5,Bouldering
"Brione Arete Right",f7A,"Sent β",,,28/Dec/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Nine pinch nails",f8B,"Sent x",,,25/Oct/23,"Afon Lloer Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
Wavelength,f7B+,"Sent x",,,24/Oct/23,"Tonfedd [Wavelength Boulders]",Gwynedd,"North Wales",Wales,1,Bouldering
"Jerry's Problem",f7C+,"Sent x",,,23/Oct/23,"Gorlan (The Sheep Pen)",Gwynedd,"North Wales",Wales,1,Bouldering
"Pinch Punch",f7C,"Sent x",,,23/Sep/23,"Bradley Edge and Quarry",Derbyshire,"The Peak Area",England,1,Bouldering
100mph,f7C+,"Sent x",,,21/Aug/23,"Hartland Quay",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
Carnage,f7B,"Sent x",,,21/Aug/23,"Hartland Quay",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
"Corridors of Power",f7C,"Sent x",,,21/Aug/23,"Hartland Quay",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
"The Nonconformist",f7C,"Sent x",,,20/Aug/23,"Vicarage Cliff",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"AWOL Apprentice",f7C,"Sent β",,"Had done the top on watchtower before  ",19/Aug/23,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"All Along the Watchtower",f7B,"Sent β",,,19/Aug/23,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Path of Daggers",f7C+,"Sent x",,,19/Aug/23,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Chimes of Freedom",8a+,"Lead RP",,,08/Aug/23,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Sport
"Hard Torque",8a+,"Lead RP",,,06/Aug/23,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Sport
"Sympathy in Choice (Stand Start)",f7B+,"Sent x",,,03/Aug/23,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Bouldering
Gazpacho,7a+,"Lead β",,,09/Jul/23,"La Saume",Hautes-Alpes,South-East,France,1,Sport
"L'ami Caouette",8a,"Lead RP",,,05/Jul/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"La Reine des Pommes",7a,"Lead β",,,04/Jul/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
Bibendum,7b+,"Lead β",,,04/Jul/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Carte Blanche",8a,"Lead RP",,,04/Jul/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
Berlin,7c,"Lead RP",,,01/Jul/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Blocage Violent",7b+,"Lead RP",,,01/Jul/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
Bourinator,8a,"Lead RP",,,28/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Beau Mouvement sur Fond Bleu",7a+,"Lead β",,,28/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Mélody Nelson",7a+,"Lead O/S",,,26/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Vieille Canaille",7b,"Lead O/S",,,26/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Angel Dust",7a+,"Lead RP",,,26/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Saint George's Picos",7a,"Lead O/S",,,25/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
Esperanza,7a+,"Lead β",,,23/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"La Javanaise",7a,"Lead β",,,23/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
Nitassinan,7a,"Lead β",,,22/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"La Femme Noire",7c+,"Lead RP",,,22/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Pourquoi pas?",7a+,"Lead O/S",,,20/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Queue de Rat (L1)",7b+,"Lead RP",,,19/Jun/23,Céüse,Hautes-Alpes,South-East,France,1,Sport
Ouijaboard,8a,"Lead RP",,,08/Jun/23,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"Agent Provocateur",8a+,"Lead RP",,"Sport route for boulderers ",27/May/23,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Sport
"The Majorca Alternative",7a+,"Lead β",,,27/May/23,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Sport
"Foxy Lady",f8A,"Sent x",,,12/Apr/23,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Octopussy,f8A,"Sent x",,,11/Apr/23,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Darkness,f8A+,"Sent x",,"Having a bit of lank helps",09/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Darkness Right",f7C,"Sent x",,,09/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
Pamplemousee,f7C+,"Sent x",,,07/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
Oblivion,f7A,"Sent x",,,07/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
Molonk,f7C,"Sent x",,,05/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Sunny Slab",f6C,"Sent x",,,04/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Fake Pamplemousse",f8A,"Sent x",,,04/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
Frogger,f8A,"Sent x",,,04/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Pause Cervelas",f7C+,"Sent β",,,03/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
Entwash,f8A,"Sent x",,,03/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"There is No Spoon",f7B,"Sent x",,,03/Apr/23,Brione,Ticino,Central,Switzerland,1,Bouldering
"Miss Schweiz",f8A+,"Sent x",,,01/Apr/23,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Freak Brothers",f8A,"Sent x",,,01/Apr/23,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Confession of a Crap Artist",f7C,"Sent x",,,01/Apr/23,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Pause Caffe",f7C,"Sent x",,,29/Mar/23,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Western Eyes",f7C+,"Sent x",,,07/Mar/23,"Burbage West","South Yorkshire","The Peak Area",England,1,Bouldering
Hulk,f7C+,"Sent x",,,19/Feb/23,"Crag X (Derbyshire)",Derbyshire,"The Peak Area",England,1,Bouldering
"Poison Ivy",f7A+,"Sent β",,,05/Feb/23,"Mallory Boulder",Gwynedd,"North Wales",Wales,1,Bouldering
Will,V11,"Sent x",,,05/Feb/23,"Mallory Boulder",Gwynedd,"North Wales",Wales,1,Bouldering
Tenzing,f8A+,"Sent x",,,05/Feb/23,"Mallory Boulder",Gwynedd,"North Wales",Wales,1,Bouldering
"The Riddler",f7A+,"Sent x",,,05/Feb/23,"Mallory Boulder",Gwynedd,"North Wales",Wales,1,Bouldering
"Rock Atrocity",f7C,"Sent β",,,03/Feb/23,"Parisella's Cave",Conwy,"North Wales",Wales,1,Bouldering
"Roof Of A Baby Buddha",V10,"Sent x",,,02/Feb/23,"Maes Newyddion Woods",Conwy,"North Wales",Wales,1,Bouldering
"36 Chambers",f7C,"Sent x",,,01/Feb/23,"Craig Ty Mawr (Tremeirchion)",Denbighshire,"North Wales",Wales,1,Bouldering
"Leotard Legend",f7C,"Sent x",,,21/Jan/23,"Burbage South Quarries","South Yorkshire","The Peak Area",England,1,Bouldering
"Les Grands Doigts",f7C,"Sent x",,,17/Jan/23,"Froggatt Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Thick End of the Wedge",f8A,"Sent x",,Juicy,16/Jan/23,"Burbage South Edge","South Yorkshire","The Peak Area",England,1,Bouldering
"Undercuts to Crimp Problem",f7B+,"Sent x",,,???/2023,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Bouldering
"Undercuts to Sloper Problem",f7C,"Sent x",,,???/2023,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Bouldering
"Diagon Alley",f7C,"Sent x",,,16/Dec/22,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"Le Musée Imaginaire",f7B+,"Sent x",,,07/Dec/22,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
Submergence,f7C,"Sent x",,,25/Nov/22,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
"Blind Fig",f7C,"Sent x",,,25/Nov/22,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
"Born Lippy",f7C+,"Sent x",,,13/Nov/22,"Bowden Doors",Northumberland,"Northern England",England,1,Bouldering
"Pulp Friction",f7C+,"Sent x",,,13/Nov/22,"Bowden Doors",Northumberland,"Northern England",England,1,Bouldering
"The Crack",f7C,"Sent x",,,13/Nov/22,"Bowden Doors",Northumberland,"Northern England",England,1,Bouldering
"Second Class",f7C,"Sent x",,,13/Nov/22,"Bowden Doors",Northumberland,"Northern England",England,1,Bouldering
Satin,f7A,"Sent β",,,05/Nov/22,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
Breadline,f6C,"Sent x",,,05/Nov/22,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
Wish,f7A+,"Sent β",,,01/Nov/22,"Cratcliffe Tor",Derbyshire,"The Peak Area",England,1,Bouldering
Beauty,f6C,"Sent x",,,17/Oct/22,"Stanage North",Derbyshire,"The Peak Area",England,1,Bouldering
"Rascal Groove",f7A,"Sent x",,,10/Oct/22,"Burbage South Edge","South Yorkshire","The Peak Area",England,1,Bouldering
"The Rib",f7B+,"Sent x",,,10/Oct/22,"Burbage South Edge","South Yorkshire","The Peak Area",England,1,Bouldering
"More Cheese Gromit",f6C,"Sent β",,,08/Oct/22,"Burbage South Edge","South Yorkshire","The Peak Area",England,1,Bouldering
"Scratch Scoop",f7A+,"Sent x",,,08/Oct/22,"Burbage South Valley Boulders","South Yorkshire","The Peak Area",England,1,Bouldering
Highrishman,f6C,"Sent x",,,08/Oct/22,"Burbage South Valley Boulders","South Yorkshire","The Peak Area",England,1,Bouldering
"Rose and the Self-employed Business Man",f7B,"Sent x",,,02/Oct/22,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"Jerry's Traverse",f7C+,"Sent x",,,28/Sep/22,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"Jason’s Cop Out",f7B+,"Sent x",,,28/Sep/22,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"Bentley's Gonna Sort You Out",f7B+,"Sent x",,,28/Sep/22,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"Pet Cemetery",f7A+,"Sent x",,,22/Sep/22,"Mother Cap and Quarry","South Yorkshire","The Peak Area",England,1,Bouldering
"The Beagle Has Landed",f7A,"Sent x",,,15/Sep/22,"Baslow Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Where Beagles Dare",f7A+,"Sent x",,,15/Sep/22,"Baslow Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Poor Dill",7c,"Lead RP",,,02/Sep/22,"Chee Dale Upper",Derbyshire,"The Peak Area",England,1,Sport
"Byker Groove",f7C,"Sent x",,,30/Aug/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Flood Gate",f8A,"Sent x",,,30/Aug/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"The Wimp",7c,"Lead RP",,,27/Aug/22,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Sport
Zeitgeist,7b,"Lead β",,,27/Aug/22,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Sport
Blockhead,7b+,"Lead RP",,,26/Aug/22,"Chee Dale Upper",Derbyshire,"The Peak Area",England,1,Sport
"Quality Control",7a,"Lead β",,,26/Aug/22,"Chee Dale Upper",Derbyshire,"The Peak Area",England,1,Sport
"Serfouette Express",6a,"Lead O/S",,,16/Aug/22,"Ailefroide - West Side of the Valley",Ailefroide,South-East,France,6,Sport
06,f6C+,"Sent x",,,08/Aug/22,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"06 - Right hand finish",f7A,"Sent x",,,08/Aug/22,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"04 - Ossarture",f6C,"Sent x",,,08/Aug/22,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"La Proue",f7A,"Sent β",,,06/Aug/22,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
L'Hélicoptère,f7A,"Sent x",,,31/Jul/22,"Bas Cuvier",Seine-et-Marn,Centre,France,1,Bouldering
"Le Carnage (White 6t)",f7B+,"Sent x",,,31/Jul/22,"Bas Cuvier",Seine-et-Marn,Centre,France,1,Bouldering
Hustled,f7C,"Sent x",,,13/Jul/22,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"The Last Dregs",f7C,"Sent x",,,13/Jul/22,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
Fiddled,f7C,"Sent x",,,13/Jul/22,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Flick of the Wrist",f7C+,"Sent x",,,12/Jul/22,"Tanygrisiau Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Back to Black",f8A,"Sent x",,,08/Jul/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Back to Black Dyno",f7B,"Sent β",,,01/Jul/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Working 9-5",f7C+,"Sent x",,,01/Jul/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Under the Greenwood Tree",f7C,"Sent x",,,27/Jun/22,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Under the Greenwood Tree Right-hand",f7C,"Sent x",,,27/Jun/22,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Goose Grease",f7B,"Sent x",,,27/Jun/22,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Hungry Eyes",7a+,"Lead O/S",,,24/Jun/22,"Chee Dale Upper",Derbyshire,"The Peak Area",England,1,Sport
"Stone the Loach",7c,"Lead RP",,,24/Jun/22,"Chee Dale Upper",Derbyshire,"The Peak Area",England,1,Sport
"Arachonothera Direct",6b+,"Lead O/S",,,24/Jun/22,"Chee Dale Upper",Derbyshire,"The Peak Area",England,1,Sport
"Cry of Despair",7c,"Lead RP",,,17/Jun/22,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"This is the Sea",7c+,"Lead RP",,,17/Jun/22,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
Fey,6b+,"Lead β",,,17/Jun/22,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
Cracks,"HVS 5b",Sent,,,13/Jun/22,"Harborough Rocks",Derbyshire,"The Peak Area",England,1,Trad
"Whose Line is it Anyway?",7a+,"Lead β",,,11/Jun/22,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"War Memorial",6c,"Lead β",,,11/Jun/22,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"Clarion Call",7a,"Lead β",,,11/Jun/22,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
Alpha,f7B,"Sent β",,,10/Jun/22,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Martial Music",7a,"Lead β",,,04/Jun/22,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"Big Zipper",7b,"Lead β",,,04/Jun/22,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"The Dangerous Brothers",8a,"Lead RP",,,30/May/22,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Sport
"Mint Sauce",f7C,"Sent x",,,27/May/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
Monster,f7C,"Sent x",,,24/May/22,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"The Undercut",f6B,Sent,,,24/May/22,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Dan's Groove",f7B,"Sent x",,,22/May/22,"The Wave",Derbyshire,"The Peak Area",England,1,Bouldering
"James/Ned's Problem",f7B+,"Sent x",,,22/May/22,"The Wave",Derbyshire,"The Peak Area",England,1,Bouldering
"Bad Thumb",f7C,"Sent x",,,22/May/22,"The Wave",Derbyshire,"The Peak Area",England,1,Bouldering
"Mr Meeseeks",f7C,"Sent x",,,05/May/22,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Far From the Madding Crowd",f7C+,"Sent x",,,05/May/22,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Sean's Problem",f7C,"Sent x",,,03/May/22,"Crag X (Derbyshire)",Derbyshire,"The Peak Area",England,1,Bouldering
"Fridge Magnate",f7A+,"Sent β",,,28/Apr/22,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"The Ultimate Gritstone Experience",f6C,"Sent β",,,28/Apr/22,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Mint Sauce Right-hand Stand",f7C,"Sent x",,,24/Apr/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
Lovine,f7C,"Sent x",,,24/Apr/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Griff's Traverse into Bovine",f7B,"Sent x",,,24/Apr/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Echo Chamber",f7C,"Sent x",,"Mantle is the crux",23/Apr/22,"Burbage South Quarries","South Yorkshire","The Peak Area",England,1,Bouldering
Polydeykes,7b,"Lead O/S",,,13/Apr/22,Arhi,Kalymnos,"South Aegean",Greece,1,Sport
Magnetus,7c,"Lead RP",,,09/Apr/22,"Spartacus Area",Kalymnos,"South Aegean",Greece,1,Sport
"Mon Batchounousougounoudoudou",7a,"Lead O/S",,,09/Apr/22,"Spartacus Area",Kalymnos,"South Aegean",Greece,1,Sport
Elskling,7c,"Lead β",,"Lost my kneebar virginity ",09/Apr/22,"Arginonta Valley",Kalymnos,"South Aegean",Greece,1,Sport
Omiros,7b,"Lead β",,,07/Apr/22,Odyssey,Kalymnos,"South Aegean",Greece,1,Sport
"Black & Deckout",f7A+,"Sent x",,,27/Mar/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"50 Shades of Black",f7B,"Sent x",,,27/Mar/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Andy's Problem",f7A+,Sent,,,26/Mar/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Black by Popular Demand",f7A,Sent,,,26/Mar/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
Blackout,f7A+,Sent,,,26/Mar/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Young, Gifted and Black",f7A,"Sent β",,,26/Mar/22,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Soul Crusher",f7C+,"Sent x",,,23/Mar/22,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Dawid's Eliminate",f7B,"Sent x",,,22/Mar/22,"Nearcliff Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"The White Rabbit sit start",f7A+,"Sent x",,,22/Mar/22,"Nearcliff Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Heart of Darkness",f7A+,"Sent β",,,22/Mar/22,"Nearcliff Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Thick End of the Book",f7C+,"Sent x",,,12/Mar/22,"Bamford Edge",Derbyshire,"The Peak Area",England,1,Bouldering
Quinnat,f7A,"Sent β",,,12/Mar/22,"Bamford Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"The Art of White Hat Wearing",f7B,"Sent x",,,09/Mar/22,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Spinal Slab",f7A,"Sent x",,,08/Mar/22,"Robin Hood's Stride",Derbyshire,"The Peak Area",England,1,Bouldering
"Famous Grouse",f7B+,"Sent x",,,07/Mar/22,"Burbage West","South Yorkshire","The Peak Area",England,1,Bouldering
"Pog Champ",f7B,"Sent x",,,06/Mar/22,"Bamford Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Bus Stop Mantel",f7B,"Sent x",,,27/Feb/22,"Rowtor Rocks",Derbyshire,"The Peak Area",England,1,Bouldering
"Men in Small Cars",f7B,"Sent x",,,27/Feb/22,"Rowtor Rocks",Derbyshire,"The Peak Area",England,1,Bouldering
"The Cheek",f7A,"Sent x",,,27/Feb/22,"Rowtor Rocks",Derbyshire,"The Peak Area",England,1,Bouldering
"Overlook Arête",f7A+,"Sent x",,,26/Feb/22,"Stanton Moor",Derbyshire,"The Peak Area",England,1,Bouldering
