Name,Grade,Style,Partner(empty),Notes,Date,Crag,County,Region,Country,Pitches,Type
"Kyloe In",V7,"Sent x",,,09/Aug/25,Nesscliffe,Shropshire,"The Peak Area",England,1,Bouldering
"Northumberland Wonderland",f7A,"Sent O/S",,,09/Aug/25,Nesscliffe,Shropshire,"The Peak Area",England,1,Bouldering
Hustled,f7C,"Sent x",,,08/Aug/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Cross Therapy",V11,"Sent x",,,06/Aug/25,"Elephantitus Cave",Gwynedd,"North Wales",Wales,1,Bouldering
"God of Small Men (after breakage)",f8A,"Sent x",,,05/Aug/25,"Clogfaeni y Llys",Gwynedd,"North Wales",Wales,1,Bouldering
"The God of Small Things",f7A,"Sent x",,,05/Aug/25,"Clogfaeni y Llys",Gwynedd,"North Wales",Wales,1,Bouldering
"The Last Dregs",f7C,"Sent x",,,03/Aug/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Pitian Patian",f8A+,"Sent x",,,03/Aug/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Bizarre Ride",f8A,"Sent x",,,30/Jul/25,"Crag X (Derbyshire)",Derbyshire,"The Peak Area",England,1,Bouldering
"The Fisherman",f8A,"Sent x",,"",24/Jul/25,"Ogmore Bouldering","Vale of Glamorgan","South Wales",Wales,1,Bouldering
"Flying Fish Sit",f7C,"Sent x",,,24/Jul/25,"Ogmore Bouldering","Vale of Glamorgan","South Wales",Wales,1,Bouldering
"The Hollow",f7C,"Sent β",,,23/Jul/25,"Glenthorne Beach",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
"The Shallow",f8A,"Sent x",,,23/Jul/25,"Glenthorne Beach",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
"Vortex, Low Start",f7B+,"Sent x",,,23/Jul/25,"Glenthorne Beach",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
"Red Quinne",f7C,"Sent x",,,22/Jul/25,"Maer Cliff (aka Northcott Mouth)",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Boy Wonder",f7C+,"Sent x",,,22/Jul/25,"Maer Cliff (aka Northcott Mouth)",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Race Against Death",f8A,"Sent x",,,17/Jul/25,"Carn Gloose",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Corridors of Power",f7C,"Sent x",,,14/Jul/25,"Hartland Quay",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
"Knights of the Round Table",f7C+,"Sent x",,,13/Jul/25,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Purple Haze Eliminate",f7A+,"Sent x",,,13/Jul/25,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Purple Pants",f7B,"Sent x",,,13/Jul/25,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Blood, Sweat and Tears",f7C,"Sent x",,,12/Jul/25,"Cowrie cove",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Cowboy Junkies",f7C,"Sent x",,,11/Jul/25,"Pentire Point",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"Ache Ball (post breaks)",f7B,"Sent β",,,09/Jul/25,"Hartland Quay",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
100mph,f7C+,"Sent x",,,08/Jul/25,"Hartland Quay",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
Carnage,f7B,"Sent β",,,08/Jul/25,"Hartland Quay",Devon,"Devon, Cornwall and Scillies",England,1,Bouldering
"Path of Daggers",f7C+,"Sent x",,,06/Jul/25,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
Diskevra,f7C,"Sent x",,,06/Jul/25,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"The Barrel",f7C,"Sent x",,,04/Jul/25,"Sand Point",Somerset,"The West Country",England,1,Bouldering
Arrakis,f7C,"Sent x",,,04/Jul/25,"Sand Point",Somerset,"The West Country",England,1,Bouldering
"Old Man River",7b,"Lead β",,,25/Jun/25,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"This is the Sea",7c+,"Lead RP",,"",25/Jun/25,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"Back to Black",f8A,"Sent x",,,22/Jun/25,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"The Sheep",f7A,"Sent x",,,15/Jun/25,"Burbage South Valley Boulders","South Yorkshire","The Peak Area",England,1,Bouldering
"The Garlic Twist",6b+,"Lead β",,,14/Jun/25,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
Fudge,f7A,"Sent x",,,09/Jun/25,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Ned's Problem",f7B,"Sent x",,,04/Jun/25,Trowbarrow,Lancashire,"North-West England",England,1,Bouldering
Wheelbarrow,f7C,"Sent x",,,04/Jun/25,Trowbarrow,Lancashire,"North-West England",England,1,Bouldering
"The Pit Problem (low start)",f7B+,"Sent x",,,04/Jun/25,Trowbarrow,Lancashire,"North-West England",England,1,Bouldering
"Vitruvian Man",f7B+,"Sent x",,,04/Jun/25,Trowbarrow,Lancashire,"North-West England",England,1,Bouldering
Supergene,f8A,"Sent x",,,02/Jun/25,"Coniston Bouldering",Cumbria,"Northern England",England,1,Bouldering
"The Haçienda",f7C+,"Sent x",,,02/Jun/25,"Coniston Bouldering",Cumbria,"Northern England",England,1,Bouldering
"Red Gene",f7C,"Sent x",,,02/Jun/25,"Coniston Bouldering",Cumbria,"Northern England",England,1,Bouldering
"Red Clover SDS",f7C,"Sent β",,,02/Jun/25,"Coniston Bouldering",Cumbria,"Northern England",England,1,Bouldering
"Undercut Arete",f6C+,"Sent β",,,30/May/25,"Carrock Fell Crag",Cumbria,"Northern England",England,1,Bouldering
"Boardman's Arete(sit)",f6C+,"Sent x",,,30/May/25,"Carrock Fell Crag",Cumbria,"Northern England",England,1,Bouldering
"Boardman's Right Hand",f6C+,"Sent x",,,30/May/25,"Carrock Fell Crag",Cumbria,"Northern England",England,1,Bouldering
"The  Prow",f7C,"Sent x",,,30/May/25,"Carrock Fell Crag",Cumbria,"Northern England",England,1,Bouldering
"Jason's Problem",f7C+,"Sent x",,,27/May/25,"Crag X (Derbyshire)",Derbyshire,"The Peak Area",England,1,Bouldering
"Paint it Black",f7C,"Sent x",,,26/May/25,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
"Working 9-5",f7C+,"Sent x",,,26/May/25,"Blackwell Dale",Derbyshire,"The Peak Area",England,1,Bouldering
Ebola,f7C+,"Sent x",,,23/May/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"The Corniceman",7a+,"Lead β",,,22/May/25,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
Gamman,6a+,"Lead β",,,22/May/25,"Chee Dale Lower",Derbyshire,"The Peak Area",England,1,Sport
"Peckitt's Traverse",f7C,"Sent x",,,19/May/25,"Biblins Cave",Herefordshire,"The Peak Area",England,1,Bouldering
"The Only Way is A6",f7C+,"Sent x",,,16/May/25,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"A6 Girls",f7C,"Sent x",,,16/May/25,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Far From the Madding Crowd",f7C+,"Sent x",,,16/May/25,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Mr Meeseeks",f7C,"Sent x",,"",16/May/25,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
Elephantitus,V6,"Sent β",,,12/May/25,"Elephantitus Cave",Gwynedd,"North Wales",Wales,1,Bouldering
"The Tusk",V9,"Sent x",,,12/May/25,"Elephantitus Cave",Gwynedd,"North Wales",Wales,1,Bouldering
"Roof Of A Baby Buddha",V10,"Sent x",,,11/May/25,"Maes Newyddion Woods",Conwy,"North Wales",Wales,1,Bouldering
"The Edge Problem SDS",f7A,"Sent x",,,11/May/25,"Cromlech boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Buddha Belly Low",f7C,"Sent x",,,09/May/25,"Maes Newyddion Woods",Conwy,"North Wales",Wales,1,Bouldering
"Nazgul's Traverse",f7C,"Sent x",,,08/May/25,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"White Rider",f7A+,"Sent β",,"",08/May/25,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"Ride the Wild Smurf",f7A,"Sent β",,"",08/May/25,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
Moria,f7B,"Sent β",,,08/May/25,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"Lizard King Middle",V9,"Sent x",,,08/May/25,"Craig Y Llwyfan",Gwynedd,"North Wales",Wales,1,Bouldering
"Prisoners of the Sun",f7C,"Sent x",,,05/May/25,"Pac man boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Go Motion",f8A,"Sent x",,,04/May/25,"Crafnant bouldering",Gwynedd,"North Wales",Wales,1,Bouldering
"Special K",f7C,"Sent β",,,04/May/25,"Crafnant bouldering",Gwynedd,"North Wales",Wales,1,Bouldering
"Lily Savage",V8,"Sent x",,,03/May/25,"Afon Lloer Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"The Cannon",f7A,"Sent x",,,03/May/25,"Afon Lloer Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Daniel Radcliffe",f6C+,"Sent β",,,03/May/25,"Afon Lloer Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Ultimate Warrior",f7B+,"Sent β",,,03/May/25,"Pont Gyfyng, Cwm Pennant",Gwynedd,"North Wales",Wales,1,Bouldering
"Giant Jenga",f7B+,"Sent x",,,01/May/25,"Dunnerdale Boulders",Cumbria,"Northern England",England,1,Bouldering
Wilding,f7B,"Sent x",,,01/May/25,"Dunnerdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"Wood Elf Dyno",f7A,"Sent β",,,30/Apr/25,"Miterdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"Clash of the Wood Elves",f7A,"Sent x",,,30/Apr/25,"Miterdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"The Angry Pixie",f7A,"Sent x",,,30/Apr/25,"Miterdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"In the Ghetto",f7A,"Sent x",,,30/Apr/25,"Miterdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"Gimme Shelter",f7A,"Sent x",,,29/Apr/25,"Mardale Head Boulders",Cumbria,"Northern England",England,1,Bouldering
Reverence,f7A+,"Sent β",,,22/Apr/25,"Kentmere Boulders",Cumbria,"Northern England",England,1,Bouldering
"Runs on Weasel",f7B,"Sent x",,,22/Apr/25,"Kentmere Boulders",Cumbria,"Northern England",England,1,Bouldering
"The Whole Hole",f7B,"Sent x",,,22/Apr/25,"Kentmere Boulders",Cumbria,"Northern England",England,1,Bouldering
"Tau Zero",f7B+,"Sent x",,,20/Apr/25,"Sour Milk Boulders",Cumbria,"Northern England",England,1,Bouldering
"Saturn V",f7A+,"Sent x",,,20/Apr/25,"Sour Milk Boulders",Cumbria,"Northern England",England,1,Bouldering
"Stefan Grossman",V9,"Sent x",,,19/Apr/25,"Langdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"Zippy's Traverse",f7B,"Sent x",,,17/Apr/25,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
Resonate,f7C,"Sent x",,,17/Apr/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
Shit,f7B+,"Sent x",,,15/Apr/25,"Higgar Tor","South Yorkshire","The Peak Area",England,1,Bouldering
Piss,f7B,"Sent x",,,15/Apr/25,"Higgar Tor","South Yorkshire","The Peak Area",England,1,Bouldering
Hemline,f7A+,"Sent x",,,15/Apr/25,"Higgar Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"Witness The Gritness",f7A,"Sent β",,,15/Apr/25,"Higgar Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"Foxy Lady",f8A,"Sent x",,,09/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Höhenrausch,f7B+,"Sent β",,,09/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"Jack the Chipper",f7C,"Sent β",,,05/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Bubaroff,f7B,"Sent x",,,04/Apr/25,Brione,Ticino,Central,Switzerland,1,Bouldering
Wanted,f7C+,"Sent x",,,01/Apr/25,Brione,Ticino,Central,Switzerland,1,Bouldering
"Sean's problem (without rules)",f7B+,"Sent x",,"",21/Mar/25,"Crag X (Derbyshire)",Derbyshire,"The Peak Area",England,1,Bouldering
Bullet,f7C,"Sent x",,,18/Mar/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Roof of the World - Undercut Start",V6,"Sent β",,,16/Mar/25,"Caley Crags","West Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Cream Egg Eliminate",f7A,"Sent β",,,16/Mar/25,"Caley Crags","West Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Slapstick Arete",f7A+,"Sent x",,,16/Mar/25,"Caley Crags","West Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Pedestal Arete",f7A+,"Sent β",,,16/Mar/25,"Caley Crags","West Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Spur Traverse",f7A,"Sent x",,,10/Mar/25,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"The Cave Problem",f7A,"Sent x",,,09/Mar/25,"Robin Hood's Stride",Derbyshire,"The Peak Area",England,1,Bouldering
"RZA Roof Right-hand",f7A+,"Sent β",,,09/Mar/25,"Cratcliffe Tor",Derbyshire,"The Peak Area",England,1,Bouldering
"Jerry's Traverse",f7B,"Sent x",,,09/Mar/25,"Cratcliffe Tor",Derbyshire,"The Peak Area",England,1,Bouldering
"Asylum Sika",f7B,"Sent β",,,06/Mar/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
Monochrome,f7B,"Sent β",,,06/Mar/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
Boyager,f7A+,"Sent x",,,06/Mar/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
"Mono Bulge",f7B,"Sent x",,,06/Mar/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
Submergence,f7C,"Sent x",,,06/Mar/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
Suavito,f7B,"Sent x",,,04/Mar/25,"Gardom's Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"G-Thang Sit-start",f6C+,"Sent x",,,04/Mar/25,"Gardom's Edge",Derbyshire,"The Peak Area",England,1,Bouldering
Kudos,f7B,"Sent β",,,04/Mar/25,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Bouldering
"A Bigger Tail",f7A,"Sent β",,,04/Mar/25,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Bouldering
"A Bigger Splash Direct",f7B,"Sent x",,,04/Mar/25,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Bouldering
"Trojan Ultra Thin",f7A,"Sent x",,,02/Mar/25,"Wharncliffe Crags","South Yorkshire","The Peak Area",England,1,Bouldering
"Platitude Inspector",f7A,"Sent β",,,02/Mar/25,"Wharncliffe Crags","South Yorkshire","The Peak Area",England,1,Bouldering
"Outlook Roof",f6C,"Sent x",,,02/Mar/25,"Wharncliffe Crags","South Yorkshire","The Peak Area",England,1,Bouldering
"Outlook Eliminate",f7A,"Sent x",,,02/Mar/25,"Wharncliffe Crags","South Yorkshire","The Peak Area",England,1,Bouldering
"Monty Skip's The Pellet Sit-start",f6C+,"Sent x",,,01/Mar/25,"Howshaw Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"Fish Finger Kid",f7C+,"Sent x",,,01/Mar/25,"Howshaw Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"The Terrace",f7C,"Sent x",,,27/Feb/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
"Jason's Roof",f7A,"Sent x",,,27/Feb/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
"Harvey Oswald",f7A+,"Sent β",,,18/Feb/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Jez's Arete",f6C,"Sent β",,,18/Feb/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Pit Traverse",f7C,"Sent x",,,18/Feb/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Geoff's Roof",f7A,"Sent x",,,17/Feb/25,"Tanygrisiau Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"New Noise RH",f7C,"Sent x",,,17/Feb/25,"Tanygrisiau Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Soft on the G",f7B,"Sent x",,,14/Feb/25,"Gardom's Edge",Derbyshire,"The Peak Area",England,1,Bouldering
Kidneystone,f7B,"Sent x",,,14/Feb/25,"Gardom's Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Glass Hour",f7A,"Sent x",,,06/Feb/25,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"Captain Hook",f7B,"Sent x",,,06/Feb/25,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
Badger,f6C+,"Sent x",,,06/Feb/25,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"Late Junction",f7B,"Sent x",,,02/Feb/25,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"The Harder Side",f7A,"Sent x",,,30/Jan/25,"Secret Garden","South Yorkshire","The Peak Area",England,1,Bouldering
Mermaid,f7A,"Sent x",,,18/Jan/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
"Twin Crack Arête",f6C+,"Sent x",,,18/Jan/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
"Sometimes I Think I'll Kill You",7a+,"Lead RP",,,29/Dec/24,"Wyndcliff Quarry",Monmouthshire,"South Wales",Wales,1,Sport
"Kiss Me",f7C,"Sent x",,,18/Dec/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Fengshui Masters",f7A,"Sent x",,,18/Dec/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Froggatt Traverse",f7A,"Sent β",,,15/Dec/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Vitruvian Man",f7C,"Sent x",,,15/Dec/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Aktifit right",f7B+,"Sent x",,,13/Dec/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Bella Gnocca",f7B,"Sent x",,,13/Dec/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Bella Nicki",f7A,"Sent β",,,13/Dec/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"El talisman left",f7B,"Sent x",,,10/Dec/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
Oblivion,f7A,"Sent x",,,04/Dec/24,Brione,Ticino,Central,Switzerland,1,Bouldering
Brahama,f7B+,"Sent x",,,04/Dec/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Winter Classic",f7B,"Sent x",,,04/Dec/24,Brione,Ticino,Central,Switzerland,1,Bouldering
Atlantis,f7C,"Sent x",,,04/Dec/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Fast and Furious",f7C+,"Sent x",,,02/Dec/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Black Pearl",f7C+,"Sent x",,,01/Dec/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Pro Touch Traverse Low",f7A,"Sent β",,,29/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Ninth power",f7C,"Sent x",,,28/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Stone Fisher",f7A,"Sent x",,,27/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Darkness Right",f7C,"Sent x",,,27/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Lato B",f7B,"Sent x",,,27/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Chocolate Horse",f7A,"Sent x",,,27/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
Pamplemousee,f7C+,"Sent x",,"",24/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
Frogger,f8A,"Sent x",,,22/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
Molonk,f7C,"Sent x",,"",20/Nov/24,Brione,Ticino,Central,Switzerland,1,Bouldering
"Vasco di Gama",f7A,"Sent O/S",,,19/Nov/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"The Bomb is Explosion",f8A,"Sent x",,,16/Nov/24,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"La Gran Evasion",f7C+,"Sent x",,,15/Nov/24,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"Intermezzo Left",f8A,"Sent x",,,15/Nov/24,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Intermezzo,f7C,"Sent x",,,15/Nov/24,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"Burning Babylon",f7A,"Sent x",,,14/Nov/24,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Piranja,f7C+,"Sent x",,,13/Nov/24,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"Quantic Bloc +",f7A,"Sent x",,,11/Nov/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Casey Jones",f7C,"Sent x",,,09/Nov/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Made in Norway",f7B,"Sent x",,,09/Nov/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Tetto Baz",f7A+,"Sent β",,,07/Nov/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Seppi's Boulder",f7A,"Sent x",,,06/Nov/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
"Dr Crimp",f7C,"Sent x",,,03/Nov/24,Chironico,Ticino,Central,Switzerland,1,Bouldering
